ISO Code,CountryName,Year,Preterm,Intrapartum,Sepsis,Tetanus,Congenital,Pneumonia,Diarrhoea,Malaria,AIDS,Measles,Injury,Meningitis,Other,Total,Pneumonia (Newborn),Preterm (Newborn),Intrapartum (Newborn),Sepsis (Newborn),Tetanus (Newborn),Congenital (Newborn),Diarrhoea (Newborn),Other (Newborn),"Pneumonia 
(1-59 months)","Diarrhoea
(1-59 months)","Malaria
(1-59 months)","AIDS
(1-59 months)","Measles
(1-59 months)","Injuries 
(1-59 months)","Meningitis 
(1-59 months)","Other 
(1-59 months)",Total,Pneumonia ,Diarrhoea ,Malaria ,AIDS ,Measles ,Injuries ,Meningitis ,Other ,Total,Pneumonia ,Preterm ,Intrapartum ,Sepsis ,Tetanus ,Congenital ,Diarrhoea ,Other ,Total
BEL,Belgium,2016,17.5,10,2.5,0,30.5,2.6,0.3,0,0,0,7.5,1.5,27.7,100,0.3,14.6,9.3,2.5,0,19,0,10.9,2.4,0.3,0,0,0,7.2,1.5,32,100,5.4,0.6,0,0,0,16.6,3.5,73.9,100,0.4,25.8,16.5,4.5,0,33.5,0,19.3,100
BLZ,Belize,2016,26.3,11.3,5.5,0,21.3,7.1,2.6,0,0.1,0,4.8,0.8,20.1,100,3.2,25.2,10,5.5,0,14.2,0,11.6,3.9,2.6,0,0.1,0,3.8,0.8,19,100,12.9,8.7,0,0.4,0,12.5,2.7,62.8,100,4.6,36.2,14.3,7.8,0,20.4,0,16.7,100
BEN,Benin,2016,13,9.8,7.3,0.3,5.2,15.2,10.7,12.4,0.7,0.4,5.8,1.9,17.2,100,2.1,11,8.7,7.3,0.3,2,0.2,1.7,13.1,10.5,12.4,0.7,0.4,5.5,1.9,22.1,100,19.7,15.8,18.6,1,0.6,8.3,2.9,33.1,100,6.3,33,26.2,22,0.8,6.1,0.5,5.1,100
BTN,Bhutan,2016,20.8,13.1,9.9,0.2,11.1,14.8,6,0,0.5,0.3,7.6,1.2,14.7,100,2.9,19,12.3,9.9,0.2,7.9,0.2,3.7,11.9,5.8,0,0.5,0.3,6.2,1.2,18.1,100,27,13.3,0,1.1,0.7,14.1,2.7,41.1,100,5.2,33.9,21.9,17.6,0.3,14.2,0.3,6.6,100
BOL,Bolivia,2016,18.1,14.8,7.4,0.2,14.5,13.8,6,0,0.1,0,7.5,0.9,16.7,100,3.1,16.1,13.1,7.4,0.2,8,0.2,3.8,10.8,5.8,0,0.1,0,6.6,0.9,24,100,22.3,12.1,0,0.1,0,13.7,1.9,49.9,100,5.9,31,25.2,14.3,0.5,15.5,0.3,7.4,100
BIH,Bosnia & Herzegovina,2016,32.5,9.8,4.7,0,31.2,5,0.4,0,0.1,2.2,3.1,0.4,10.5,100,3.1,31.4,9.2,4.7,0,23.7,0,5.8,1.9,0.4,0,0.1,2.2,2.1,0.4,14.9,100,8.5,1.9,0,0.4,10,9.6,2,67.6,100,4,40.3,11.9,6,0,30.4,0,7.4,100
BWA,Botswana,2016,24.9,14.9,9,0.3,11.4,9.9,4.1,0,8,0.3,4.4,0.4,12.3,100,3.6,23.5,14.3,9,0.3,8.8,0.2,3.4,6.3,3.9,0,7.9,0.3,4,0.4,14,100,17,10.5,0.1,21.6,0.9,10.8,1,38,100,5.7,37.2,22.6,14.2,0.5,13.9,0.4,5.5,100
BRA,Brazil,2016,17.1,8.8,7.1,0,23.5,8.9,2.5,0,0.2,0,6.6,1.1,24.1,100,0.9,15.1,7.7,7.1,0,10.6,0,10,8,2.5,0,0.2,0,6.2,1.1,30.5,100,16.5,5.2,0,0.4,0,12.8,2.3,62.8,100,1.8,29.3,14.9,13.9,0,20.7,0,19.4,100
BRN,Brunei,2016,26.3,4.8,4.4,0,35.5,2.7,0.6,0,0,0,6.1,0.8,18.8,100,0.3,15.9,3,4.4,0,18.1,0,3.7,2.4,0.6,0,0,0,6.1,0.8,44.6,100,4.4,1.1,0,0,0,11.2,1.5,81.8,100,0.7,35.1,6.5,9.6,0,39.9,0,8.2,100
BGR,Bulgaria,2016,28.3,9,2,0,24.3,14.2,1.8,0,0.1,0,5.9,1.4,13.1,100,2.4,23.1,7.9,2,0,12.1,0,2.1,11.7,1.8,0,0.1,0,5.7,1.3,29.9,100,23.3,3.5,0,0.1,0,11.3,2.5,59.3,100,4.9,46.7,15.9,4.1,0,24.3,0,4.2,100
BFA,Burkina Faso,2016,10.9,9.4,7.4,0.2,4.4,12.7,7.7,24.6,0.4,0.8,5.6,1.5,14.6,100,2,9.2,8.5,7.4,0.1,2.2,0.1,1.7,10.7,7.6,24.6,0.4,0.8,5.2,1.5,18,100,15.5,11.1,35.8,0.5,1.2,7.5,2.2,26.2,100,6.4,29.5,27.1,23.6,0.5,7,0.4,5.6,100
BDI,Burundi,2016,12.3,11.8,6.1,0.2,6,16.3,9.9,6.7,0.8,0.1,8,1.9,19.9,100,2.5,10.1,10.4,6.1,0.2,3.2,0.2,2.3,13.8,9.8,6.7,0.8,0.1,7.5,1.9,24.4,100,21.2,15,10.4,1.3,0.2,11.6,2.9,37.5,100,7.2,28.9,29.9,17.3,0.7,9.1,0.5,6.5,100
